,stim_id,condition,freq_category,word,subtlex_log10freq,correct_response,ResponseTime,Accuracy,id
33,34,rw,LF,gonsde,0.7782,Y,747.5297827476645,0,11549.0
141,142,nw,NW,gardien,0.0,N,1013.8927771201727,1,11549.0
98,99,rw,HF,bij,5.0328,Y,476.9449760659048,1,11549.0
185,186,nw,NW,brad,0.0,N,1098.0869533076202,1,11549.0
121,122,nw,NW,bluit,0.0,N,1062.6338220013786,0,11549.0
41,42,rw,LF,lome,0.8451,Y,679.257567432844,1,11549.0
36,37,rw,LF,rogge,0.7782,Y,633.7162353326304,1,11549.0
27,28,rw,LF,klavier,0.699,Y,705.1659143959095,1,11549.0
93,94,rw,HF,gedaan,4.5868,Y,553.3802440016893,0,11549.0
40,41,rw,LF,zolders,0.7782,Y,634.4116046684303,1,11549.0
140,141,nw,NW,kimensie,0.0,N,966.4047643764743,1,11549.0
191,192,nw,NW,megen,0.0,N,1090.437971554361,0,11549.0
176,177,nw,NW,rons,0.0,N,1149.8533286040156,1,11549.0
133,134,nw,NW,vrijk,0.0,N,1201.9173111235439,1,11549.0
95,96,rw,HF,zit,4.666,Y,607.3171424829382,0,11549.0
76,77,rw,HF,hen,4.158,Y,576.0881519371544,0,11549.0
24,25,rw,LF,ambten,0.699,Y,630.3074311975038,1,11549.0
14,15,rw,LF,karpers,0.4771,Y,732.2703949526498,1,11549.0
7,8,rw,LF,ratels,0.301,Y,646.5317083332137,1,11549.0
2,3,rw,LF,imams,0.301,Y,649.6890945667876,1,11549.0
171,172,nw,NW,vlump,0.0,N,949.8843457478482,1,11549.0
89,90,rw,HF,wist,4.4149,Y,453.50400698258284,1,11549.0
192,193,nw,NW,nef,0.0,N,1012.262320906904,0,11549.0
74,75,rw,HF,vroeg,4.1163,Y,475.8056018070723,1,11549.0
28,29,rw,LF,lanen,0.699,Y,771.6165039094354,0,11549.0
143,144,nw,NW,ant,0.0,N,1111.3719322286165,1,11549.0
87,88,rw,HF,werd,4.3552,Y,507.0680994366298,0,11549.0
148,149,nw,NW,leumen,0.0,N,1133.1954405035776,0,11549.0
34,35,rw,LF,margriet,0.7782,Y,656.5224496431565,1,11549.0
145,146,nw,NW,gewunnen,0.0,N,978.8754230299786,1,11549.0
48,49,rw,LF,bonkte,0.9542,Y,843.2608221208327,1,11549.0
66,67,rw,HF,plaats,3.97,Y,362.407029468768,1,11549.0
80,81,rw,HF,krijg,4.214,Y,514.7714483961503,1,11549.0
35,36,rw,LF,metrum,0.7782,Y,663.8533743562544,1,11549.0
135,136,nw,NW,kumus,0.0,N,1160.1212960962982,1,11549.0
153,154,nw,NW,gefaapt,0.0,N,925.7931778973821,0,11549.0
182,183,nw,NW,zuun,0.0,N,1078.1470921245998,0,11549.0
163,164,nw,NW,snoen,0.0,N,903.9248323537234,1,11549.0
75,76,rw,HF,wachten,4.1516,Y,307.90728051931967,1,11549.0
127,128,nw,NW,kandola,0.0,N,889.4274251602789,1,11549.0
175,176,nw,NW,kwarp,0.0,N,1071.116560361984,1,11549.0
169,170,nw,NW,moksen,0.0,N,1005.2137191929899,1,11549.0
85,86,rw,HF,idee,4.3247,Y,487.49989057026824,0,11549.0
160,161,nw,NW,gietsen,0.0,N,1071.3362288322107,1,11549.0
69,70,rw,HF,juist,4.0152,Y,438.0550669844542,1,11549.0
107,108,nw,NW,geslonden,0.0,N,1134.8704142636886,1,11549.0
43,44,rw,LF,stram,0.8451,Y,601.00565897606,1,11549.0
99,100,rw,HF,kom,5.0578,Y,580.5909516100975,1,11549.0
82,83,rw,HF,vraag,4.281,Y,517.5978207025106,1,11549.0
134,135,nw,NW,vlorken,0.0,N,919.8975167219344,0,11549.0
170,171,nw,NW,glijp,0.0,N,1069.9228313712526,1,11549.0
137,138,nw,NW,glaf,0.0,N,1084.0961356951661,0,11549.0
159,160,nw,NW,jaat,0.0,N,994.4183379708031,1,11549.0
71,72,rw,HF,lekker,4.082,Y,387.0674682777341,1,11549.0
61,62,rw,HF,gaf,3.923,Y,448.091729951168,1,11549.0
63,64,rw,HF,bezig,3.934,Y,530.419081236861,0,11549.0
155,156,nw,NW,loedsels,0.0,N,977.5906386980861,0,11549.0
30,31,rw,LF,porde,0.699,Y,732.0866652199394,1,11549.0
103,104,nw,NW,goont,0.0,N,1005.8618729223191,1,11549.0
186,187,nw,NW,gevupt,0.0,N,1161.1442527267393,0,11549.0
123,124,nw,NW,vebras,0.0,N,992.4393710311001,1,11549.0
111,112,nw,NW,breent,0.0,N,1078.5987320908534,1,11549.0
177,178,nw,NW,gimmel,0.0,N,1169.693105947841,1,11549.0
196,197,nw,NW,zerder,0.0,N,1058.1781820960482,1,11549.0
0,1,rw,LF,buidels,0.301,Y,714.49699037969,1,11549.0
104,105,nw,NW,jugen,0.0,N,975.502468692033,1,11549.0
195,196,nw,NW,rokan,0.0,N,903.1757002806609,1,11549.0
45,46,rw,LF,lijsters,0.9031,Y,726.4668379618206,1,11549.0
184,185,nw,NW,drintels,0.0,N,980.14055913804,1,11549.0
78,79,rw,HF,uur,4.1832,Y,471.5296571970252,1,11549.0
126,127,nw,NW,sluinen,0.0,N,934.1071096545177,1,11549.0
105,106,nw,NW,slont,0.0,N,927.4315062056708,1,11549.0
144,145,nw,NW,bezans,0.0,N,1004.1767542049812,1,11549.0
173,174,nw,NW,bluurde,0.0,N,976.0148761871723,1,11549.0
197,198,nw,NW,snarpen,0.0,N,1064.2067697205991,0,11549.0
193,194,nw,NW,pruit,0.0,N,875.1203114122886,0,11549.0
168,169,nw,NW,plin,0.0,N,1035.4715816722944,1,11549.0
174,175,nw,NW,nergen,0.0,N,938.5105286068521,0,11549.0
92,93,rw,HF,dacht,4.5313,Y,545.0929546800135,0,11549.0
70,71,rw,HF,ogen,4.0572,Y,490.7340411840694,1,11549.0
106,107,nw,NW,gals,0.0,N,1052.0664194315668,1,11549.0
21,22,rw,LF,spurt,0.6021,Y,799.8266218993103,1,11549.0
5,6,rw,LF,puien,0.301,Y,650.5408972963061,1,11549.0
83,84,rw,HF,auto,4.3017,Y,527.8232815246489,1,11549.0
77,78,rw,HF,open,4.1693,Y,538.5778351309909,1,11549.0
4,5,rw,LF,ponten,0.301,Y,711.8653941679846,1,11549.0
32,33,rw,LF,woei,0.699,Y,748.7434535037955,1,11549.0
188,189,nw,NW,trorg,0.0,N,958.0144194365664,1,11549.0
190,191,nw,NW,darboen,0.0,N,1040.3509121548373,0,11549.0
146,147,nw,NW,kuukt,0.0,N,1127.9266096001068,1,11549.0
64,65,rw,HF,zoek,3.9398,Y,471.8485198473052,1,11549.0
42,43,rw,LF,stengels,0.8451,Y,878.0779897419142,1,11549.0
113,114,nw,NW,gesmalpt,0.0,N,1064.1020997330863,1,11549.0
124,125,nw,NW,kabrieken,0.0,N,1029.3943651431453,0,11549.0
53,54,rw,HF,baby,3.8221,Y,433.2642098147666,1,11549.0
114,115,nw,NW,liek,0.0,N,884.6201427678732,1,11549.0
1,2,rw,LF,hese,0.301,Y,761.0150709988626,0,11549.0
59,60,rw,HF,vallen,3.8985,Y,609.445904964702,0,11549.0
19,20,rw,LF,schoffels,0.6021,Y,729.5625142912533,1,11549.0
100,101,nw,NW,millag,0.0,N,1000.6098454520563,1,11549.0
20,21,rw,LF,schuiten,0.6021,Y,829.8339875855734,1,11549.0
167,168,nw,NW,stiraal,0.0,N,1110.5875033919588,1,11549.0
26,27,rw,LF,flans,0.699,Y,688.42804177601,1,11549.0
194,195,nw,NW,pirrel,0.0,N,938.331388344696,1,11549.0
125,126,nw,NW,zelijk,0.0,N,969.0186060394175,0,11549.0
54,55,rw,HF,recht,3.8432,Y,370.6870555351279,1,11549.0
31,32,rw,LF,suste,0.699,Y,652.9395903127055,1,11549.0
23,24,rw,LF,wrongel,0.6021,Y,680.7445289604984,1,11549.0
