,stim_id,condition,freq_category,word,subtlex_log10freq,correct_response,ResponseTime,Accuracy,id
3,4,rw,LF,polders,0.301,Y,847.7146992425625,1,54988.0
138,139,nw,NW,stodeum,0.0,N,1059.0180333721396,1,54988.0
17,18,rw,LF,deun,0.6021,Y,713.5990189191538,1,54988.0
91,92,rw,HF,moeder,4.4554,Y,308.4833942446453,1,54988.0
171,172,nw,NW,vlump,0.0,N,1157.2921638007024,1,54988.0
132,133,nw,NW,gefruld,0.0,N,874.6903365777307,1,54988.0
42,43,rw,LF,stengels,0.8451,Y,888.871255052421,1,54988.0
155,156,nw,NW,loedsels,0.0,N,936.4312658304225,1,54988.0
32,33,rw,LF,woei,0.699,Y,595.2167902063579,1,54988.0
173,174,nw,NW,bluurde,0.0,N,1119.9545055485737,1,54988.0
41,42,rw,LF,lome,0.8451,Y,881.5028734056854,1,54988.0
71,72,rw,HF,lekker,4.082,Y,545.7164528457868,0,54988.0
107,108,nw,NW,geslonden,0.0,N,869.8910840407966,1,54988.0
87,88,rw,HF,werd,4.3552,Y,568.8094196637012,0,54988.0
127,128,nw,NW,kandola,0.0,N,878.8351495264837,1,54988.0
189,190,nw,NW,ploe,0.0,N,862.5269870690538,0,54988.0
51,52,rw,HF,hield,3.8191,Y,372.8430136703169,1,54988.0
149,150,nw,NW,knaarde,0.0,N,970.574643533814,1,54988.0
76,77,rw,HF,hen,4.158,Y,427.9859237930945,0,54988.0
179,180,nw,NW,kijs,0.0,N,944.8518757921875,1,54988.0
196,197,nw,NW,zerder,0.0,N,818.903239673871,1,54988.0
100,101,nw,NW,millag,0.0,N,860.8977437021731,1,54988.0
139,140,nw,NW,murselein,0.0,N,1231.8929844940558,1,54988.0
164,165,nw,NW,tombel,0.0,N,1064.5118105273953,0,54988.0
141,142,nw,NW,gardien,0.0,N,988.4770923525851,1,54988.0
114,115,nw,NW,liek,0.0,N,1108.9704480187493,0,54988.0
133,134,nw,NW,vrijk,0.0,N,654.3638136406094,1,54988.0
96,97,rw,HF,zeg,4.6872,Y,602.4121030434962,1,54988.0
33,34,rw,LF,gonsde,0.7782,Y,973.3744829921934,1,54988.0
123,124,nw,NW,vebras,0.0,N,1132.6374628855083,1,54988.0
85,86,rw,HF,idee,4.3247,Y,370.25008008689423,1,54988.0
146,147,nw,NW,kuukt,0.0,N,1179.6032381121026,0,54988.0
98,99,rw,HF,bij,5.0328,Y,487.4560356157883,1,54988.0
197,198,nw,NW,snarpen,0.0,N,839.4856634995426,1,54988.0
106,107,nw,NW,gals,0.0,N,891.2006119599282,1,54988.0
105,106,nw,NW,slont,0.0,N,936.4206677645639,1,54988.0
124,125,nw,NW,kabrieken,0.0,N,917.375812735776,1,54988.0
50,51,rw,HF,plan,3.7972,Y,522.4936819868291,0,54988.0
48,49,rw,LF,bonkte,0.9542,Y,684.4492655818921,1,54988.0
84,85,rw,HF,zag,4.3048,Y,691.8999222472896,0,54988.0
72,73,rw,HF,gemaakt,4.0844,Y,325.95922883269594,0,54988.0
7,8,rw,LF,ratels,0.301,Y,915.6258207769487,1,54988.0
46,47,rw,LF,venkel,0.9031,Y,669.8439465374731,0,54988.0
65,66,rw,HF,wakker,3.9448,Y,633.3739512250454,1,54988.0
134,135,nw,NW,vlorken,0.0,N,1021.4167571676696,1,54988.0
168,169,nw,NW,plin,0.0,N,835.4662260544821,0,54988.0
162,163,nw,NW,plond,0.0,N,1093.3637385713664,1,54988.0
27,28,rw,LF,klavier,0.699,Y,695.7741671004886,1,54988.0
152,153,nw,NW,entel,0.0,N,868.3794728792983,0,54988.0
126,127,nw,NW,sluinen,0.0,N,993.7689005656889,1,54988.0
198,199,nw,NW,spodiel,0.0,N,941.9497683424063,1,54988.0
77,78,rw,HF,open,4.1693,Y,459.1531307760226,1,54988.0
170,171,nw,NW,glijp,0.0,N,848.5550739673128,1,54988.0
47,48,rw,LF,balkons,0.9542,Y,484.18980765981314,0,54988.0
52,53,rw,HF,boek,3.8196,Y,517.4655204126509,1,54988.0
161,162,nw,NW,gebeikt,0.0,N,773.214866633875,1,54988.0
70,71,rw,HF,ogen,4.0572,Y,438.16881872646763,1,54988.0
90,91,rw,HF,hele,4.4246,Y,515.1701794177179,0,54988.0
9,10,rw,LF,sikkels,0.301,Y,688.4877750816269,1,54988.0
53,54,rw,HF,baby,3.8221,Y,498.7777586082951,0,54988.0
178,179,nw,NW,monen,0.0,N,1001.7524421687779,1,54988.0
