,stim_id,condition,freq_category,word,subtlex_log10freq,correct_response,ResponseTime,Accuracy,id
183,184,nw,NW,rieve,0.0,N,1019.0492373668604,1,30133.0
9,10,rw,LF,sikkels,0.301,Y,658.9873419684898,1,30133.0
161,162,nw,NW,gebeikt,0.0,N,1008.3099295623299,1,30133.0
168,169,nw,NW,plin,0.0,N,1015.9235973865742,0,30133.0
33,34,rw,LF,gonsde,0.7782,Y,753.8313100657808,1,30133.0
174,175,nw,NW,nergen,0.0,N,988.0201348319608,1,30133.0
141,142,nw,NW,gardien,0.0,N,907.4482464538448,0,30133.0
73,74,rw,HF,help,4.0879,Y,587.9736476204728,0,30133.0
138,139,nw,NW,stodeum,0.0,N,990.5743261605425,1,30133.0
199,200,nw,NW,fankel,0.0,N,974.9949544890978,1,30133.0
40,41,rw,LF,zolders,0.7782,Y,639.3792513920309,0,30133.0
152,153,nw,NW,entel,0.0,N,980.977618328283,0,30133.0
101,102,nw,NW,labber,0.0,N,1132.9103228625618,1,30133.0
194,195,nw,NW,pirrel,0.0,N,1016.12405294365,1,30133.0
173,174,nw,NW,bluurde,0.0,N,944.5666592544933,1,30133.0
49,50,rw,LF,gisten,0.9542,Y,699.7695363408872,1,30133.0
113,114,nw,NW,gesmalpt,0.0,N,929.5176071356518,1,30133.0
36,37,rw,LF,rogge,0.7782,Y,678.6144594623041,0,30133.0
87,88,rw,HF,werd,4.3552,Y,529.3774633618098,1,30133.0
187,188,nw,NW,klaam,0.0,N,1054.3010191921464,1,30133.0
10,11,rw,LF,stekken,0.301,Y,674.6037109513454,0,30133.0
74,75,rw,HF,vroeg,4.1163,Y,439.6363889964844,1,30133.0
92,93,rw,HF,dacht,4.5313,Y,518.943277854731,1,30133.0
34,35,rw,LF,margriet,0.7782,Y,678.7930949015291,1,30133.0
78,79,rw,HF,uur,4.1832,Y,594.9072463920444,1,30133.0
11,12,rw,LF,barse,0.4771,Y,703.3060660609642,1,30133.0
189,190,nw,NW,ploe,0.0,N,944.7632481662772,1,30133.0
193,194,nw,NW,pruit,0.0,N,1030.7358931151964,1,30133.0
48,49,rw,LF,bonkte,0.9542,Y,623.6509570902437,1,30133.0
136,137,nw,NW,smaan,0.0,N,966.1707790630527,1,30133.0
61,62,rw,HF,gaf,3.923,Y,536.3073646063317,0,30133.0
30,31,rw,LF,porde,0.699,Y,534.2718120612203,1,30133.0
160,161,nw,NW,gietsen,0.0,N,986.8883709185062,1,30133.0
3,4,rw,LF,polders,0.301,Y,719.5069192138345,1,30133.0
20,21,rw,LF,schuiten,0.6021,Y,673.0068690701866,1,30133.0
176,177,nw,NW,rons,0.0,N,969.7318382379829,0,30133.0
163,164,nw,NW,snoen,0.0,N,976.7526378628177,0,30133.0
99,100,rw,HF,kom,5.0578,Y,560.1217912695623,1,30133.0
175,176,nw,NW,kwarp,0.0,N,952.5518608822352,1,30133.0
132,133,nw,NW,gefruld,0.0,N,1010.5963767381045,0,30133.0
133,134,nw,NW,vrijk,0.0,N,925.1408826195822,1,30133.0
32,33,rw,LF,woei,0.699,Y,677.91761363237,1,30133.0
117,118,nw,NW,prookt,0.0,N,915.5150038303731,1,30133.0
108,109,nw,NW,giep,0.0,N,1065.3661837332431,0,30133.0
115,116,nw,NW,plenk,0.0,N,1047.8913265331587,1,30133.0
184,185,nw,NW,drintels,0.0,N,1122.3587206140237,1,30133.0
50,51,rw,HF,plan,3.7972,Y,533.2647324777048,0,30133.0
165,166,nw,NW,mijk,0.0,N,979.8354112496913,1,30133.0
124,125,nw,NW,kabrieken,0.0,N,975.0051778247416,1,30133.0
17,18,rw,LF,deun,0.6021,Y,515.5375906398684,1,30133.0
7,8,rw,LF,ratels,0.301,Y,622.41124579567,1,30133.0
29,30,rw,LF,oker,0.699,Y,730.7970294604632,1,30133.0
25,26,rw,LF,beitels,0.699,Y,678.4201684947575,1,30133.0
198,199,nw,NW,spodiel,0.0,N,1062.5363170693329,1,30133.0
90,91,rw,HF,hele,4.4246,Y,545.3693095681346,0,30133.0
155,156,nw,NW,loedsels,0.0,N,1005.8658175474051,0,30133.0
79,80,rw,HF,eigen,4.1922,Y,633.9071558609354,0,30133.0
112,113,nw,NW,vroel,0.0,N,1084.720816365613,1,30133.0
94,95,rw,HF,dood,4.6374,Y,501.98944177034286,1,30133.0
181,182,nw,NW,hormen,0.0,N,972.9980900345674,1,30133.0
167,168,nw,NW,stiraal,0.0,N,1060.3000575325525,1,30133.0
23,24,rw,LF,wrongel,0.6021,Y,757.0176230024878,1,30133.0
5,6,rw,LF,puien,0.301,Y,705.7138352942808,0,30133.0
76,77,rw,HF,hen,4.158,Y,539.1793721707642,1,30133.0
123,124,nw,NW,vebras,0.0,N,906.8365536323258,1,30133.0
129,130,nw,NW,bralat,0.0,N,1120.3442218332602,1,30133.0
182,183,nw,NW,zuun,0.0,N,972.8177686010956,1,30133.0
85,86,rw,HF,idee,4.3247,Y,486.6691594489335,1,30133.0
72,73,rw,HF,gemaakt,4.0844,Y,447.43437454987844,0,30133.0
109,110,nw,NW,women,0.0,N,956.087064552046,1,30133.0
65,66,rw,HF,wakker,3.9448,Y,530.3521979645996,1,30133.0
37,38,rw,LF,sfinxen,0.7782,Y,610.6853493571496,1,30133.0
12,13,rw,LF,gevels,0.4771,Y,707.2969854756004,1,30133.0
77,78,rw,HF,open,4.1693,Y,436.52525665574,1,30133.0
70,71,rw,HF,ogen,4.0572,Y,355.74197876091716,0,30133.0
0,1,rw,LF,buidels,0.301,Y,687.8809811945027,1,30133.0
