,stim_id,condition,freq_category,word,subtlex_log10freq,correct_response,ResponseTime,Accuracy,id
156,157,nw,NW,udel,0.0,N,1319.5957521068617,0,21853.0
75,76,rw,HF,wachten,4.1516,Y,382.22588259722414,1,21853.0
125,126,nw,NW,zelijk,0.0,N,810.9636422615256,1,21853.0
81,82,rw,HF,morgen,4.2678,Y,367.5343315561071,1,21853.0
99,100,rw,HF,kom,5.0578,Y,438.4841805522778,0,21853.0
27,28,rw,LF,klavier,0.699,Y,701.9064223338763,1,21853.0
196,197,nw,NW,zerder,0.0,N,944.2438875521384,1,21853.0
165,166,nw,NW,mijk,0.0,N,976.3653280340048,0,21853.0
78,79,rw,HF,uur,4.1832,Y,772.2888548477101,1,21853.0
134,135,nw,NW,vlorken,0.0,N,968.2472144036736,1,21853.0
44,45,rw,LF,grief,0.9031,Y,851.5125574401993,1,21853.0
74,75,rw,HF,vroeg,4.1163,Y,371.0647441620081,1,21853.0
91,92,rw,HF,moeder,4.4554,Y,523.7828416914405,1,21853.0
133,134,nw,NW,vrijk,0.0,N,1118.8371796518754,1,21853.0
117,118,nw,NW,prookt,0.0,N,1128.055345535137,1,21853.0
8,9,rw,LF,reigers,0.301,Y,927.3035589319063,0,21853.0
67,68,rw,HF,soort,3.9872,Y,621.8309503712759,1,21853.0
163,164,nw,NW,snoen,0.0,N,1002.6863917953357,1,21853.0
29,30,rw,LF,oker,0.699,Y,351.57432256568546,0,21853.0
33,34,rw,LF,gonsde,0.7782,Y,802.5904586944054,1,21853.0
7,8,rw,LF,ratels,0.301,Y,732.1155704814864,1,21853.0
17,18,rw,LF,deun,0.6021,Y,562.7597584194241,1,21853.0
198,199,nw,NW,spodiel,0.0,N,1098.816285343912,1,21853.0
131,132,nw,NW,fradingo,0.0,N,945.6801615082203,1,21853.0
132,133,nw,NW,gefruld,0.0,N,988.5664322471569,1,21853.0
93,94,rw,HF,gedaan,4.5868,Y,353.4771538671937,1,21853.0
103,104,nw,NW,goont,0.0,N,888.5527330577672,1,21853.0
90,91,rw,HF,hele,4.4246,Y,640.320753252559,1,21853.0
161,162,nw,NW,gebeikt,0.0,N,956.1317063920467,1,21853.0
34,35,rw,LF,margriet,0.7782,Y,943.8673257950613,1,21853.0
171,172,nw,NW,vlump,0.0,N,1148.3405363326785,0,21853.0
187,188,nw,NW,klaam,0.0,N,1130.528224844485,1,21853.0
185,186,nw,NW,brad,0.0,N,978.8718442526556,1,21853.0
175,176,nw,NW,kwarp,0.0,N,1099.176792312043,1,21853.0
76,77,rw,HF,hen,4.158,Y,440.55893999748497,0,21853.0
0,1,rw,LF,buidels,0.301,Y,565.8825350942584,1,21853.0
148,149,nw,NW,leumen,0.0,N,712.7334456576845,1,21853.0
3,4,rw,LF,polders,0.301,Y,822.2615126898118,0,21853.0
191,192,nw,NW,megen,0.0,N,1044.8115807968416,1,21853.0
59,60,rw,HF,vallen,3.8985,Y,261.37189308011114,1,21853.0
151,152,nw,NW,grede,0.0,N,1043.1622601358783,1,21853.0
194,195,nw,NW,pirrel,0.0,N,859.2710733698551,0,21853.0
153,154,nw,NW,gefaapt,0.0,N,938.954746068671,0,21853.0
106,107,nw,NW,gals,0.0,N,1148.9682964024555,1,21853.0
