,stim_id,condition,freq_category,word,subtlex_log10freq,correct_response,ResponseTime,Accuracy,id
124,125,nw,NW,kabrieken,0.0,N,828.2115004162904,0,14583.0
190,191,nw,NW,darboen,0.0,N,1105.564011710377,1,14583.0
77,78,rw,HF,open,4.1693,Y,286.859609520654,1,14583.0
112,113,nw,NW,vroel,0.0,N,827.2630459279092,1,14583.0
169,170,nw,NW,moksen,0.0,N,996.6190995770885,0,14583.0
7,8,rw,LF,ratels,0.301,Y,703.6500223016321,0,14583.0
160,161,nw,NW,gietsen,0.0,N,943.4574328136929,0,14583.0
121,122,nw,NW,bluit,0.0,N,1008.1926776667254,1,14583.0
128,129,nw,NW,grantel,0.0,N,1036.4011694035742,1,14583.0
134,135,nw,NW,vlorken,0.0,N,970.3556119947991,0,14583.0
152,153,nw,NW,entel,0.0,N,929.5665462056071,1,14583.0
116,117,nw,NW,groeken,0.0,N,921.8655889984406,0,14583.0
72,73,rw,HF,gemaakt,4.0844,Y,656.940065171908,1,14583.0
146,147,nw,NW,kuukt,0.0,N,1075.545705913171,1,14583.0
136,137,nw,NW,smaan,0.0,N,995.1338334052606,1,14583.0
93,94,rw,HF,gedaan,4.5868,Y,372.51717026541377,0,14583.0
75,76,rw,HF,wachten,4.1516,Y,560.9989156492541,0,14583.0
61,62,rw,HF,gaf,3.923,Y,499.54106618238495,1,14583.0
195,196,nw,NW,rokan,0.0,N,1123.7658340849143,0,14583.0
16,17,rw,LF,clusters,0.6021,Y,742.635250393681,1,14583.0
194,195,nw,NW,pirrel,0.0,N,1006.9434553962406,0,14583.0
66,67,rw,HF,plaats,3.97,Y,559.5201908087429,0,14583.0
107,108,nw,NW,geslonden,0.0,N,1001.6150549534723,1,14583.0
24,25,rw,LF,ambten,0.699,Y,455.0203104829695,0,14583.0
49,50,rw,LF,gisten,0.9542,Y,763.013370027065,1,14583.0
86,87,rw,HF,ging,4.3434,Y,669.1025538536549,1,14583.0
167,168,nw,NW,stiraal,0.0,N,887.1898553923141,1,14583.0
94,95,rw,HF,dood,4.6374,Y,544.0305387681769,1,14583.0
88,89,rw,HF,geweest,4.3568,Y,571.8552994822978,1,14583.0
95,96,rw,HF,zit,4.666,Y,639.0135428555386,1,14583.0
76,77,rw,HF,hen,4.158,Y,425.63185797515587,0,14583.0
32,33,rw,LF,woei,0.699,Y,677.9649430129773,0,14583.0
62,63,rw,HF,begin,3.9267,Y,379.9340660998553,1,14583.0
30,31,rw,LF,porde,0.699,Y,769.5928845619004,1,14583.0
150,151,nw,NW,plirken,0.0,N,1106.3421352235864,0,14583.0
1,2,rw,LF,hese,0.301,Y,592.4976108701003,1,14583.0
33,34,rw,LF,gonsde,0.7782,Y,591.1512870144655,1,14583.0
154,155,nw,NW,pals,0.0,N,822.0379016092662,0,14583.0
155,156,nw,NW,loedsels,0.0,N,870.5154438113505,1,14583.0
100,101,nw,NW,millag,0.0,N,1049.371075086344,1,14583.0
87,88,rw,HF,werd,4.3552,Y,486.7929616782478,1,14583.0
165,166,nw,NW,mijk,0.0,N,1061.367619199176,1,14583.0
65,66,rw,HF,wakker,3.9448,Y,336.8073575482029,0,14583.0
149,150,nw,NW,knaarde,0.0,N,821.4608886606193,1,14583.0
164,165,nw,NW,tombel,0.0,N,878.3510518800806,0,14583.0
35,36,rw,LF,metrum,0.7782,Y,786.5069794616275,1,14583.0
148,149,nw,NW,leumen,0.0,N,1115.943466714201,1,14583.0
43,44,rw,LF,stram,0.8451,Y,682.6517981300022,0,14583.0
127,128,nw,NW,kandola,0.0,N,998.3880577820204,1,14583.0
105,106,nw,NW,slont,0.0,N,967.1287902916459,0,14583.0
108,109,nw,NW,giep,0.0,N,919.288699941064,0,14583.0
36,37,rw,LF,rogge,0.7782,Y,643.4431233983281,1,14583.0
138,139,nw,NW,stodeum,0.0,N,864.0261647197777,0,14583.0
178,179,nw,NW,monen,0.0,N,1039.281379905058,1,14583.0
102,103,nw,NW,brum,0.0,N,941.2923209107727,1,14583.0
197,198,nw,NW,snarpen,0.0,N,974.8300876219106,1,14583.0
172,173,nw,NW,klaap,0.0,N,774.535068451318,0,14583.0
113,114,nw,NW,gesmalpt,0.0,N,1080.374602675748,1,14583.0
27,28,rw,LF,klavier,0.699,Y,765.6050004021514,0,14583.0
28,29,rw,LF,lanen,0.699,Y,608.9802439190777,1,14583.0
104,105,nw,NW,jugen,0.0,N,915.1129252355101,1,14583.0
174,175,nw,NW,nergen,0.0,N,1042.1504068335178,1,14583.0
140,141,nw,NW,kimensie,0.0,N,1166.659087836639,1,14583.0
58,59,rw,HF,redden,3.8783,Y,603.6673189898867,0,14583.0
45,46,rw,LF,lijsters,0.9031,Y,645.9152073927474,1,14583.0
83,84,rw,HF,auto,4.3017,Y,614.2593096749241,1,14583.0
68,69,rw,HF,sta,4.0123,Y,353.6590487479358,1,14583.0
56,57,rw,HF,reden,3.8548,Y,578.445979421113,0,14583.0
55,56,rw,HF,hard,3.8435,Y,368.13746218001586,1,14583.0
193,194,nw,NW,pruit,0.0,N,1057.3422157859306,1,14583.0
109,110,nw,NW,women,0.0,N,903.6078602768835,1,14583.0
41,42,rw,LF,lome,0.8451,Y,648.8324480088518,1,14583.0
196,197,nw,NW,zerder,0.0,N,1153.5733491212216,1,14583.0
198,199,nw,NW,spodiel,0.0,N,1008.9367927989107,1,14583.0
37,38,rw,LF,sfinxen,0.7782,Y,589.4665645719103,1,14583.0
4,5,rw,LF,ponten,0.301,Y,790.8961735647873,0,14583.0
182,183,nw,NW,zuun,0.0,N,1028.189410724318,0,14583.0
53,54,rw,HF,baby,3.8221,Y,700.7965325951235,1,14583.0
80,81,rw,HF,krijg,4.214,Y,448.4808970806067,1,14583.0
157,158,nw,NW,rufel,0.0,N,987.9106704311152,1,14583.0
101,102,nw,NW,labber,0.0,N,816.1302751730938,1,14583.0
191,192,nw,NW,megen,0.0,N,1075.8209419462182,1,14583.0
60,61,rw,HF,los,3.9075,Y,642.0040438611611,1,14583.0
125,126,nw,NW,zelijk,0.0,N,963.3393475462035,1,14583.0
67,68,rw,HF,soort,3.9872,Y,356.5955099852455,0,14583.0
81,82,rw,HF,morgen,4.2678,Y,309.92962615347597,1,14583.0
118,119,nw,NW,doppel,0.0,N,1007.4528297412401,1,14583.0
11,12,rw,LF,barse,0.4771,Y,676.7817679484614,1,14583.0
143,144,nw,NW,ant,0.0,N,1267.836709997879,1,14583.0
14,15,rw,LF,karpers,0.4771,Y,807.03115881474,1,14583.0
192,193,nw,NW,nef,0.0,N,1031.2616855721149,1,14583.0
18,19,rw,LF,etui,0.6021,Y,552.126247178178,1,14583.0
47,48,rw,LF,balkons,0.9542,Y,757.229854543293,1,14583.0
63,64,rw,HF,bezig,3.934,Y,531.3516572046252,1,14583.0
131,132,nw,NW,fradingo,0.0,N,843.7809714288571,1,14583.0
163,164,nw,NW,snoen,0.0,N,1144.9593773721003,1,14583.0
137,138,nw,NW,glaf,0.0,N,1041.8559387940695,1,14583.0
22,23,rw,LF,strotten,0.6021,Y,610.4952714183429,1,14583.0
69,70,rw,HF,juist,4.0152,Y,456.9707850899729,1,14583.0
98,99,rw,HF,bij,5.0328,Y,555.7305889677842,1,14583.0
119,120,nw,NW,verke,0.0,N,1087.2163351075908,1,14583.0
50,51,rw,HF,plan,3.7972,Y,512.1180311667562,1,14583.0
12,13,rw,LF,gevels,0.4771,Y,912.505241867448,1,14583.0
156,157,nw,NW,udel,0.0,N,1108.1487017379934,1,14583.0
19,20,rw,LF,schoffels,0.6021,Y,687.3326459832208,1,14583.0
145,146,nw,NW,gewunnen,0.0,N,1084.9038299359115,0,14583.0
46,47,rw,LF,venkel,0.9031,Y,841.6263668753992,0,14583.0
185,186,nw,NW,brad,0.0,N,1175.2858023541276,1,14583.0
31,32,rw,LF,suste,0.699,Y,506.4806315422827,0,14583.0
8,9,rw,LF,reigers,0.301,Y,986.4961121673665,1,14583.0
179,180,nw,NW,kijs,0.0,N,828.1339678112415,1,14583.0
186,187,nw,NW,gevupt,0.0,N,936.0479785671992,1,14583.0
52,53,rw,HF,boek,3.8196,Y,653.915514483799,1,14583.0
0,1,rw,LF,buidels,0.301,Y,612.8095207959365,1,14583.0
129,130,nw,NW,bralat,0.0,N,1007.3446124028117,1,14583.0
144,145,nw,NW,bezans,0.0,N,815.0545065368724,1,14583.0
147,148,nw,NW,kadders,0.0,N,1057.137576172862,0,14583.0
161,162,nw,NW,gebeikt,0.0,N,926.6539214197747,1,14583.0
123,124,nw,NW,vebras,0.0,N,950.992523425342,1,14583.0
188,189,nw,NW,trorg,0.0,N,983.6494825443677,0,14583.0
64,65,rw,HF,zoek,3.9398,Y,615.0138552089,1,14583.0
183,184,nw,NW,rieve,0.0,N,918.115118212554,1,14583.0
51,52,rw,HF,hield,3.8191,Y,459.083895124445,1,14583.0
